user_id,feature_name,usage_count,avg_session_seconds,date
user_001553,dashboard,13,89,2023-08-09
user_051159,collaboration,5,168,2023-05-03
user_018807,dashboard,31,239,2023-12-15
user_026176,analytics,7,130,2023-08-13
user_053840,analytics,11,153,2023-06-25
user_016601,reports,12,203,2024-11-08
user_031295,analytics,24,71,2024-01-18
user_021246,dashboard,10,193,2023-10-13
user_026172,dashboard,13,192,2023-06-04
user_059954,dashboard,10,109,2023-10-27
user_052020,export,17,174,2024-11-29
user_004717,api_call,1,150,2024-05-29
user_042225,reports,4,173,2023-09-26
user_053492,collaboration,6,98,2023-06-24
user_006048,export,14,118,2024-09-22
user_008144,reports,9,63,2023-12-07
user_048637,dashboard,4,82,2024-05-09
user_024303,export,5,52,2024-05-21
user_035331,export,12,82,2023-01-18
user_013153,export,15,185,2024-04-15
user_004762,analytics,8,122,2024-09-23
user_056581,dashboard,11,73,2024-09-21
user_017022,dashboard,8,162,2023-11-24
user_002851,dashboard,6,274,2023-11-23
user_007019,collaboration,45,247,2023-01-12
user_037551,search,2,82,2023-09-02
user_059062,dashboard,10,171,2024-09-21
user_014999,api_call,8,71,2023-11-05
user_047767,analytics,4,138,2024-11-17
user_034492,dashboard,12,184,2024-04-16
user_019696,reports,5,160,2024-10-08
user_019011,collaboration,7,153,2024-10-07
user_055064,export,6,178,2023-08-01
user_044593,reports,9,106,2024-06-09
user_055416,search,24,129,2024-03-15
user_008860,dashboard,24,138,2024-09-26
user_002303,reports,15,210,2024-03-20
user_047007,collaboration,6,87,2024-11-04
user_036477,analytics,4,173,2023-12-28
user_021744,reports,6,162,2024-08-25
user_039632,reports,9,146,2023-12-26
user_022969,analytics,8,223,2024-01-12
user_059809,dashboard,1,73,2024-04-26
user_005896,reports,7,43,2024-04-27
user_041661,export,5,206,2023-09-15
user_029226,analytics,19,226,2024-08-29
user_030155,search,19,169,2024-10-30
user_000334,search,1,142,2024-11-14
user_003613,automation,33,201,2023-02-19
user_051912,analytics,5,163,2024-09-04
user_027691,search,9,115,2024-03-20
user_007587,dashboard,13,166,2024-04-25
user_029851,api_call,31,269,2023-11-29
user_035330,dashboard,9,163,2023-12-19
user_021608,analytics,28,221,2023-11-15
user_028438,dashboard,3,73,2024-04-26
user_006759,dashboard,9,197,2023-12-01
user_011297,collaboration,2,75,2024-04-10
