feature_id,feature_name,tier,release_date,owner_team
feat_001,security_0,starter,2022-12-07,platform
feat_002,automation_1,starter,2022-08-12,core
feat_003,roles_2,enterprise,2021-06-22,core
feat_004,batch_jobs_3,pro,2022-11-30,core
feat_005,export_4,starter,2022-05-08,security
feat_006,realtime_5,starter,2021-06-06,growth
feat_007,permissions_6,enterprise,2021-01-13,security
feat_008,audit_7,starter,2021-09-29,security
feat_009,notifications_8,starter,2020-11-15,growth
feat_010,permissions_9,pro,2022-01-18,platform
feat_011,collaboration_10,starter,2020-11-11,platform
feat_012,api_call_11,starter,2021-12-08,core
feat_013,storage_12,pro,2021-04-23,platform
feat_014,dashboard_13,enterprise,2021-09-18,security
feat_015,api_call_14,pro,2022-10-13,security
feat_016,sso_15,enterprise,2021-04-08,platform
feat_017,batch_jobs_16,starter,2021-01-10,core
feat_018,dashboard_17,enterprise,2022-05-13,platform
feat_019,export_18,starter,2022-09-20,analytics
feat_020,notifications_19,pro,2021-03-22,platform
feat_021,analytics_20,pro,2022-01-03,growth
feat_022,roles_21,pro,2021-01-13,core
feat_023,realtime_22,enterprise,2022-07-10,security
feat_024,reports_v2_23,starter,2022-07-18,analytics
feat_025,billing_24,pro,2021-03-17,security
feat_026,automation_25,enterprise,2022-02-03,core
feat_027,automation_26,starter,2022-02-12,analytics
feat_028,notifications_27,starter,2022-05-30,security
feat_029,permissions_28,pro,2022-05-29,analytics
feat_030,billing_29,enterprise,2021-09-19,growth
feat_031,notifications_30,starter,2022-04-24,security
feat_032,webhooks_31,pro,2020-11-28,security
feat_033,audit_32,enterprise,2021-11-19,platform
feat_034,automation_33,starter,2021-07-29,analytics
feat_035,export_34,starter,2022-09-11,growth
feat_036,security_35,starter,2021-02-04,analytics
feat_037,realtime_36,starter,2021-12-03,analytics
feat_038,realtime_37,pro,2021-07-09,platform
feat_039,webhooks_38,starter,2021-02-04,core
feat_040,roles_39,enterprise,2020-11-24,platform
feat_041,security_40,pro,2022-09-09,platform
feat_042,audit_41,starter,2021-09-24,core
feat_043,reports_v2_42,enterprise,2022-04-07,security
feat_044,analytics_43,enterprise,2022-09-15,platform
feat_045,security_44,enterprise,2021-04-18,growth
feat_046,collaboration_45,pro,2020-11-12,growth
feat_047,webhooks_46,enterprise,2023-01-01,security
feat_048,templates_47,pro,2022-12-13,core
feat_049,storage_48,pro,2022-05-01,core
feat_050,automation_49,enterprise,2022-10-13,core
feat_051,reports_v2_0,pro,2022-10-23,security
feat_052,collaboration_1,starter,2021-02-25,analytics
feat_053,webhooks_2,starter,2022-04-05,security
feat_054,realtime_3,pro,2022-05-30,security
feat_055,reports_v2_4,enterprise,2022-06-10,platform
feat_056,billing_5,enterprise,2021-03-07,platform
feat_057,integration_6,enterprise,2021-09-26,core
feat_058,automation_7,starter,2022-10-28,platform
feat_059,search_8,enterprise,2021-06-13,growth
feat_060,batch_jobs_9,starter,2022-12-25,core
feat_061,permissions_10,enterprise,2022-11-02,growth
feat_062,export_11,starter,2022-01-28,core
feat_063,api_rate_limit_12,starter,2022-03-22,analytics
