user_id,plan_type,mrr,signup_date,churn_date,is_churned,tenure_days
user_041906,starter,28.22,2024-01-22,,0,136
user_007297,free,0.0,2022-12-28,,0,22
user_001640,starter,31.66,2022-07-07,,0,81
user_048599,pro,95.55,2023-01-31,,0,22
user_018025,free,0.0,2022-06-06,,0,320
user_016050,starter,27.01,2023-06-10,,0,159
user_014629,free,0.0,2022-03-10,,0,309
user_009145,free,0.0,2022-06-05,,0,209
user_048266,free,0.0,2024-04-29,,0,216
user_006718,pro,98.54,2022-12-10,,0,82
user_044349,free,0.0,2023-04-03,2023-11-30,1,241
user_048541,free,0.0,2022-11-22,,0,70
user_058470,starter,27.42,2023-05-11,,0,299
user_035742,enterprise,520.51,2023-12-15,,0,188
user_005698,free,0.0,2022-09-17,,0,52
user_038699,free,0.0,2022-04-06,,0,284
user_027652,starter,28.97,2024-05-24,,0,38
user_002083,pro,99.45,2023-07-18,,0,406
user_001953,free,0.0,2025-03-23,,0,8
user_006141,free,0.0,2022-03-12,,0,613
user_014329,free,0.0,2023-10-03,,0,144
user_015248,starter,28.45,2023-03-18,,0,645
user_033119,pro,95.82,2024-05-25,,0,199
user_039454,free,0.0,2023-02-23,,0,32
user_001740,free,0.0,2022-01-28,,0,869
user_036782,free,0.0,2023-08-12,,0,76
user_013032,starter,29.05,2023-04-28,,0,607
user_046926,starter,27.22,2022-08-05,,0,105
user_042591,starter,29.95,2022-11-26,,0,429
user_045963,starter,27.41,2022-01-24,,0,224
user_035714,starter,32.22,2022-06-27,,0,104
user_027494,pro,105.46,2022-01-30,,0,249
user_014447,free,0.0,2022-01-21,,0,44
user_029440,pro,94.0,2024-11-20,,0,287
user_038619,enterprise,468.1,2022-07-27,,0,97
user_018232,free,0.0,2023-01-05,2023-04-14,1,99
user_053047,free,0.0,2022-01-09,,0,64
user_056971,pro,98.81,2022-04-12,,0,20
user_000426,enterprise,508.32,2022-05-31,,0,2
user_049730,enterprise,461.65,2022-03-07,,0,827
user_052811,starter,28.88,2023-03-03,,0,245
user_010464,free,0.0,2022-04-20,,0,24
user_045754,starter,30.28,2022-12-06,,0,56
user_027697,free,0.0,2022-11-24,,0,194
user_022299,enterprise,524.19,2024-05-17,,0,13
user_018211,free,0.0,2022-08-16,,0,86
user_010190,starter,30.7,2022-04-17,,0,485
user_014111,starter,29.88,2022-01-09,,0,6
user_050037,starter,28.27,2023-04-22,2023-06-21,1,60
user_022060,free,0.0,2022-04-10,,0,81
user_006699,free,0.0,2023-05-06,,0,59
user_006079,enterprise,504.36,2022-02-06,,0,48
user_024899,free,0.0,2023-11-22,2024-01-03,1,42
user_006339,free,0.0,2024-03-30,,0,649
user_023527,starter,27.98,2024-01-05,,0,110
user_055542,free,0.0,2023-05-14,,0,32
user_022542,starter,28.41,2022-08-05,,0,17
user_039566,free,0.0,2024-02-16,,0,37
